"name","latitude","longitude","RestaurantsDelivery","WiFi","WheelchairAccessible","HappyHour","total_comments","average_rating"
"1100 Social",39.9041687186,-75.1691288928,"","","","",43,3
"13 Restaurant",39.952714,-75.160534,"","","","",94,3
"1518 Bar & Grill",39.9501977,-75.1666386,"","","","",222,4
"2637brew",39.974356,-75.18016842,"","","","",125,4
"2nd Story Brewing",39.9484739,-75.1435556,"","","","",576,4
"2nd Street Brew House",39.926632,-75.1493732,"True","u'free'","","",75,4
"48th Street Grille",39.9531368,-75.2186607,"","","","",288,4.5
"A Lin Kitchen",39.924614,-75.161195,"","","","",58,3.5
"AURA",39.9612273,-75.1387381,"","","","",23,2
"Abner's Cheesesteaks",39.9553957,-75.1986337,"","","","",228,3.5
"Aksum Cafe",39.9485474,-75.2163663,"True","u'free'","","",417,4
"Al-Sham Restaurant",40.0402499,-75.0661113,"","","","",215,4
"Aldo and Manny Pizza and Pasta",39.9547868,-75.1644935,"True","u'no'","","",57,4
"Allegro Pizza",39.9514453,-75.2029159,"False","'free'","","",227,3
"Alma de Cuba",39.9500808,-75.1685265,"","","","",1354,4
"Almaz Cafe",39.9506628,-75.1739332,"","","","",390,4
"Amari's Restaurant",39.9479848,-75.2247445,"","","","",60,3.5
"Ambassador",39.9707616,-75.1479482,"False","u'free'","","",32,4
"America's Best Wings",39.9563712,-75.2061225,"False","u'free'","True","True",31,3
"American Sardine Bar",39.936536,-75.17375,"","","","",378,4
"Angelino's Restaurant, Fairmount- Philadelphia",39.9712971,-75.1776345,"","","","",219,4
"Anna Restaurant",39.9543799638,-75.2263397723,"","","True","",15,4.5
"Applebee's Grill + Bar",39.976856,-75.118897,"","","","",63,2.5
"Applebee's Grill + Bar",39.977529,-75.272689,"","","","",72,2
"Applebee's Grill + Bar",39.993173,-75.092621,"False","u'no'","True","",57,2.5
"Applebee's Grill + Bar",40.063437,-75.23814,"","","","",70,2.5
"Applebee's Grill + Bar",40.07662,-75.033565,"","","","",64,2.5
"Aqimero",39.9512876403,-75.1641220332,"","u'no'","True","",144,3.5
"Arbys Roast Beef",39.9788169932,-75.1191148148,"","u'free'","","",21,2.5
"Ashburner Inn",40.040715,-75.015473,"","","","",88,4
"Athenian Restaurant",40.0259565956,-75.0442917475,"True","","","",28,4
"Attico Rooftop Lounge",39.9486052,-75.1640808,"","","","",213,3
"Aunties Biscuits",40.0517233,-75.1565104,"","","","",33,4
"Aviation Grill",39.877855,-75.244711,"","","","",48,2.5
"Baba Bar",39.873796,-75.244075,"False","","True","",19,3
"Bad Brother",39.968629,-75.176888,"","","","",97,5
"Balcony Restaurant",39.9473199,-75.1642969,"","","","",12,2.5
"Bank & Bourbon",39.9517241479,-75.1601829009,"","","","",395,3.5
"Bar Bombón",39.9506592976,-75.1705476767,"","","","",747,4
"Bar Symon",39.875504,-75.238125,"","","","",83,2.5
"Bar-Ly Chinatown",39.9540709,-75.1576818,"","","","",393,4
"Bardot Cafe",39.9664506632,-75.1455635682,"","","","",161,4.5
"Benny the Bum's",40.1018053,-75.0291144,"","","","",172,3.5
"Bentoulis Pizza",40.0106236,-75.102975,"","","","",44,4
"Bernie's Restaurant & Bar - Manayunk",40.026214204,-75.2250791341,"True","u'free'","","",41,2.5
"Big Ass Slices",39.9497522,-75.1444806,"True","","","",244,3.5
"Bill's Breakfast & Lunch",39.9498484,-75.1627607,"True","u'free'","False","",138,4
"Billy Murphy's Irish Saloon",40.010788133,-75.1877212755,"","","","",160,4.5
"Bistro Perrier",39.9551006,-75.2074747,"","","","",78,4
"Blind Barber",39.9500715082,-75.1630359539,"","","","",23,4
"Blue Cross RiverRink",39.9479485975,-75.1397391496,"","","","",89,4
"Blume",39.948408124,-75.1668265834,"","","","",170,2.5
"Bodega Bar",39.9493319,-75.1616733,"","","","",67,3.5
"Bonks Bar",39.9863915,-75.0943523,"","","True","",35,4
"Booker's Restaurant and Bar",39.948041,-75.2242388,"","","","",295,3.5
"Boostin' Bowls",40.0261216129,-75.2246050321,"","","","",77,4.5
"Boricua Restaurant",39.968903,-75.141464,"","","","",32,5
"Boston Market",39.9217543725,-75.1462794724,"","","","",27,3.5
"Boston Market",39.9556727,-75.2002489,"","","","",36,2.5
"Boston Market",39.9946451763,-75.0952541257,"True","u'free'","True","True",11,2
"Boston Market",40.0025179655,-75.2226631419,"","","","",22,2
"Boston Market",40.0355870565,-75.0711464882,"","","","",15,2.5
"Boston Market",40.074277,-75.033309,"False","'no'","","",18,2.5
"Boston Market",40.0866977,-74.965124,"","","","",24,2
"Bottle Bar East",39.970471,-75.134725,"","","","",280,4
"Bourbon & Branch",39.96207,-75.14104,"","","","",405,4
"Bread & Butter Philly - Breakfast Junction",40.0797906,-75.1736235982,"False","'no'","","",23,4.5
"Bridget Foy's",39.9411099,-75.1458162,"","","","",18,4
"Broad Street Diner",39.936729,-75.1669582,"False","u'free'","True","True",153,3
"Bubbakoos Burritos",40.0779888,-75.0273447,"","","","",35,3
"Buccann",40.0510947,-75.0666122,"","","","",33,3.5
"Bud & Marilyn's",39.947787,-75.162293,"","","","",1347,4
"Bud & Marilyn’s",39.8761393223,-75.2427911013,"","","","",46,3
